CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
101902137,ALDINE ISD,ECKERT ELEM.,3,INDEPENDENT,1430 ALDINE MEADOWS RD,HOUSTON,77032,29,60,26,11
101902138,ALDINE ISD,ESCAMILLA ELEM.,3,INDEPENDENT,5241 E MT HOUSTON RD,HOUSTON,77093,40,107,57,28
101902139,ALDINE ISD,STEHLIK ELEM.,3,INDEPENDENT,400 W RD,HOUSTON,77038,10,85,53,26
101902140,ALDINE ISD,PARKER ELEM.,3,INDEPENDENT,19850 E HARDY RD,HOUSTON,77073,25,102,63,28
101902141,ALDINE ISD,CARAWAY ELEM.,3,INDEPENDENT,3031 ELLINGTON ST,HOUSTON,77088,34,54,23,8
101902142,ALDINE ISD,WILSON ELEM.,3,INDEPENDENT,3131 FALLBROOK DR,HOUSTON,77038,25,53,24,7
101902143,ALDINE ISD,REED ACAD.,3,INDEPENDENT,1616 LAUDER RD,HOUSTON,77039,28,114,60,21
101902144,ALDINE ISD,HILL ELEM.,3,INDEPENDENT,2625 W MOUNT HOUSTON,HOUSTON,77038,35,78,38,14
101902145,ALDINE ISD,MARCELLA ELEM.,3,INDEPENDENT,16250 COTILLION DR,HOUSTON,77060,22,81,43,18
101902146,ALDINE ISD,OGDEN ELEM.,3,INDEPENDENT,21919 RAYFORD RD,HOUSTON,77338,54,78,26,9
101903101,ALIEF ISD,YOUENS ELEM.,3,INDEPENDENT,12141 HIGH STAR,HOUSTON,77072-1209,71,95,37,21
101903102,ALIEF ISD,BOONE ELEM.,3,INDEPENDENT,11400 BISSONNET,HOUSTON,77099-1903,57,94,49,28
101903103,ALIEF ISD,MARTIN ELEM.,3,INDEPENDENT,11718 HENDON,HOUSTON,77072-3416,42,130,66,28
101903104,ALIEF ISD,CHAMBERS ELEM.,3,INDEPENDENT,10700 CARVEL,HOUSTON,77072-2720,43,79,42,18
101903105,ALIEF ISD,SMITH ELEM.,3,INDEPENDENT,11300 STANCLIFF,HOUSTON,77099-4202,55,74,32,15
101903106,ALIEF ISD,MAHANAY ELEM.,3,INDEPENDENT,13215 HIGH STAR,HOUSTON,77083-1905,30,60,32,13
101903107,ALIEF ISD,KENNEDY ELEM.,3,INDEPENDENT,10200 HUNTINGTON PL DR,HOUSTON,77099-2335,56,79,42,22
101903108,ALIEF ISD,CHANCELLOR ELEM,3,INDEPENDENT,4350 BOONE RD,HOUSTON,77072-1916,42,85,33,15
101903109,ALIEF ISD,LIESTMAN ELEM.,3,INDEPENDENT,7610 SYNOTT RD,HOUSTON,77083-5106,41,78,30,14
101903110,ALIEF ISD,PETROSKY ELEM.,3,INDEPENDENT,6703 WINKLEMAN,HOUSTON,77083-2428,24,59,31,15
101903111,ALIEF ISD,HEFLIN ELEM.,3,INDEPENDENT,3303 SYNOTT RD,HOUSTON,77082-4926,55,101,55,30
101903112,ALIEF ISD,CUMMINGS ELEM.,3,INDEPENDENT,10455 S KIRKWOOD,HOUSTON,77099-5018,22,59,22,9
101903113,ALIEF ISD,REES ELEM.,3,INDEPENDENT,16305 KENSLEY,HOUSTON,77082-2847,25,80,44,14
101903114,ALIEF ISD,ALEXANDER ELEM.,3,INDEPENDENT,8500 BROOKWULF,HOUSTON,77099,50,57,38,20
101903115,ALIEF ISD,HEARNE ELEM.,3,INDEPENDENT,13939 RIO BONITO,HOUSTON,77083-1531,53,95,49,22
101903116,ALIEF ISD,LANDIS ELEM.,3,INDEPENDENT,10255 SPICE LN,HOUSTON,77072-5035,47,86,40,17
101903117,ALIEF ISD,SNEED ELEM.,3,INDEPENDENT,9855 PAGEWOOD LN,HOUSTON,77042-5523,56,144,81,32
101903118,ALIEF ISD,BEST ELEM.,3,INDEPENDENT,10000 CENTRE PKWY,HOUSTON,77036-8200,66,74,35,7
101903119,ALIEF ISD,OUTLEY ELEM.,3,INDEPENDENT,12355 RICHMOND AVE,HOUSTON,77082-2435,56,151,102,66
101903120,ALIEF ISD,HICKS ELEM.,3,INDEPENDENT,8520 HEMLOCK HILL DR,HOUSTON,77083-6856,49,95,46,14
101903121,ALIEF ISD,BUSH ELEM.,3,INDEPENDENT,9730 STROUD DR,HOUSTON,77036-9999,58,91,46,21
101903122,ALIEF ISD,COLLINS ELEM.,3,INDEPENDENT,9829 TOWN PARK DR,HOUSTON,77036,46,97,57,26
101903123,ALIEF ISD,HORN ELEM.,3,INDEPENDENT,10734 BISSONETT,HOUSTON,77099,68,115,48,8
101903124,ALIEF ISD,HOLMQUIST ELEM.,3,INDEPENDENT,15040 WESTPARK DR,HOUSTON,77082,60,142,68,29
101905042,CHANNELVIEW ISD,B.H. HAMBLEN EL,3,INDEPENDENT,1019 DELL DALE ST,CHANNELVIEW,77530,22,118,77,43
101905101,CHANNELVIEW ISD,VIOLA COBB ELEM,3,INDEPENDENT,915 DELL DALE ST,CHANNELVIEW,77530,26,55,24,10
101905102,CHANNELVIEW ISD,DE ZAVALA ELEM.,3,INDEPENDENT,16150 SECOND ST,CHANNELVIEW,77530,17,66,39,20
101905103,CHANNELVIEW ISD,SCHOCHLER ELEM.,3,INDEPENDENT,910 DEERPASS,CHANNELVIEW,77530,12,55,36,17
101905104,CHANNELVIEW ISD,MCMULLAN ELEM.,3,INDEPENDENT,1290 DELL DALE ST,CHANNELVIEW,77530,12,100,67,34
101905105,CHANNELVIEW ISD,CRENSHAW ELEM.,3,INDEPENDENT,16204 WOOD DR,CHANNELVIEW,77530,17,73,32,11
101905106,CHANNELVIEW ISD,HARVEY S. BROWN,3,INDEPENDENT,16550 WALLISVILLE RD,HOUSTON,77049,27,87,49,22
101906101,CROSBY ISD,NEWPORT ELEM.,3,INDEPENDENT,430 N DIAMONDHEAD BLVD,CROSBY,77532-8009,25,132,87,34
101906103,CROSBY ISD,BARRETT ELEM.,3,INDEPENDENT,815 FM 1942,CROSBY,77532-8009,17,91,52,20
101906104,CROSBY ISD,DREW ELEM.,3,INDEPENDENT,223 RED OAK,CROSBY,77532-8009,17,50,18,6
101906106,CROSBY ISD,CROSBY ELEM.,3,INDEPENDENT,14705 FM 2100,CROSBY,77532,39,103,51,22
101907101,CYPRESS-FAIRBAN,BANE ELEM.,3,INDEPENDENT,5805 KAISER ST,HOUSTON,77040-5459,43,86,26,9
101907103,CYPRESS-FAIRBAN,LAMKIN ELEM.,3,INDEPENDENT,11521 TELGE RD,CYPRESS,77429-3386,16,117,70,37
101907104,CYPRESS-FAIRBAN,POST ELEM.,3,INDEPENDENT,7600 EQUADOR ST,HOUSTON,77040-2121,23,145,81,40
101907105,CYPRESS-FAIRBAN,MATZKE ELEM.,3,INDEPENDENT,13102 JONES RD,HOUSTON,77070-4438,41,117,54,19
101907106,CYPRESS-FAIRBAN,HOLBROOK ELEM.,3,INDEPENDENT,6402 LANGFIELD RD,HOUSTON,77092-1006,24,116,63,26
101907107,CYPRESS-FAIRBAN,ADAM ELEM.,3,INDEPENDENT,11303 HONEYGROVE LN,HOUSTON,77065-2413,27,98,58,22
101907108,CYPRESS-FAIRBAN,HANCOCK ELEM.,3,INDEPENDENT,13801 SCHROEDER RD,HOUSTON,77070-2628,24,95,49,16
101907109,CYPRESS-FAIRBAN,YEAGER ELEM.,3,INDEPENDENT,13615 CHAMPION FOREST DR,HOUSTON,77069-1801,49,101,54,26
101907110,CYPRESS-FAIRBAN,MILLSAP ELEM.,3,INDEPENDENT,12424 HUFFMEISTER RD,CYPRESS,77429-3281,31,96,56,31
101907111,CYPRESS-FAIRBAN,LIEDER ELEM.,3,INDEPENDENT,17003 KIETH HARROW BLVD,HOUSTON,77084-2510,37,87,39,11
101907112,CYPRESS-FAIRBAN,FRANCONE ELEM.,3,INDEPENDENT,11250 PERRY RD,HOUSTON,77064-4551,47,72,32,8
101907113,CYPRESS-FAIRBAN,HORNE ELEM.,3,INDEPENDENT,14950 W LITTLE YORK RD,HOUSTON,77084-1523,40,98,51,27
101907115,CYPRESS-FAIRBAN,MOORE ELEM.,3,INDEPENDENT,13734 LAKEWOOD FOREST DR,HOUSTON,77070-2814,20,112,81,43
101907116,CYPRESS-FAIRBAN,LOWERY ELEM.,3,INDEPENDENT,15950 RDG PARK DR,HOUSTON,77095-2612,29,118,70,43
101907117,CYPRESS-FAIRBAN,FRAZIER ELEM.,3,INDEPENDENT,8300 LITTLE RIVER RD,HOUSTON,77064-7904,21,76,38,14
101907118,CYPRESS-FAIRBAN,WILSON ELEM.,3,INDEPENDENT,18015 KIETH HARROW BLVD,HOUSTON,77084-5722,31,107,51,16
101907119,CYPRESS-FAIRBAN,OWENS ELEM.,3,INDEPENDENT,7939 JACKRABBIT RD,HOUSTON,77095-2901,30,95,43,22
101907120,CYPRESS-FAIRBAN,EMMOTT ELEM.,3,INDEPENDENT,11750 STEEPLEWAY BLVD,HOUSTON,77065-4366,46,71,29,8
101907121,CYPRESS-FAIRBAN,HOLMSLEY ELEM.,3,INDEPENDENT,7315 HUDSON OAKS DR,HOUSTON,77095-1149,19,112,53,20
101907122,CYPRESS-FAIRBAN,JOWELL ELEM.,3,INDEPENDENT,6355 GREENHOUSE RD,KATY,77449-4382,55,169,76,37
101907124,CYPRESS-FAIRBAN,FIEST ELEM.,3,INDEPENDENT,8425 PINE FALLS,HOUSTON,77095-4618,40,119,60,26
101907125,CYPRESS-FAIRBAN,BANG ELEM.,3,INDEPENDENT,8900 RIO GRANDE,HOUSTON,77064-7137,28,118,52,24
101907126,CYPRESS-FAIRBAN,HAMILTON ELEM.,3,INDEPENDENT,12050 KLUGE,CYPRESS,77429-2446,6,162,129,82
101907127,CYPRESS-FAIRBAN,METCALF ELEM.,3,INDEPENDENT,6100 QUEENSTON,HOUSTON,77084-6400,28,88,46,16
101907128,CYPRESS-FAIRBAN,HAIRGROVE ELEM.,3,INDEPENDENT,7120 N ELDRIDGE PKWY,HOUSTON,77041-1883,7,111,61,21
101907129,CYPRESS-FAIRBAN,REED ELEM.,3,INDEPENDENT,8700 TAMI RENEE LN,HOUSTON,77040-2400,35,117,63,34
101907130,CYPRESS-FAIRBAN,COPELAND ELEM.,3,INDEPENDENT,18018 FOREST HTS DR,HOUSTON,77095-4441,26,121,84,44
101907131,CYPRESS-FAIRBAN,WILLBERN ELEM.,3,INDEPENDENT,10811 GOODSPRING DR,HOUSTON,77064-9419,43,95,55,25
101907132,CYPRESS-FAIRBAN,SHERIDAN ELEM.,3,INDEPENDENT,19790 KIETH HARROW BLVD,KATY,77449-7003,50,136,69,20
101907133,CYPRESS-FAIRBAN,AULT ELEM.,3,INDEPENDENT,21010 MAPLE VILLAGE DR,CYPRESS,77429-5722,17,129,85,47
101907134,CYPRESS-FAIRBAN,KIRK ELEM.,3,INDEPENDENT,12421 TANNER RD,HOUSTON,77041,31,86,40,16
101907135,CYPRESS-FAIRBAN,FARNEY ELEM.,3,INDEPENDENT,14425 BARKER CYPRESS,HOUSTON,77429,15,130,86,47
101907136,CYPRESS-FAIRBAN,GLEASON ELEM.,3,INDEPENDENT,9203 WILLOWBRIDGE PARK BLVD,HOUSTON,77064,26,130,86,45
101907137,CYPRESS-FAIRBAN,WALKER ELEM.,3,INDEPENDENT,6424 SETTLERS VILLAGE,KATY,77449,42,113,52,19
101907138,CYPRESS-FAIRBAN,SAMPSON ELEM.,3,INDEPENDENT,16002 COLES CROSSING DR,CYPRESS,77429,5,164,127,70
101907139,CYPRESS-FAIRBAN,BIRKES ELEM.,3,INDEPENDENT,8500 QUEENSTON BLVD,HOUSTON,77095,17,174,122,73
101907140,CYPRESS-FAIRBAN,ROBISON ELEM.,3,INDEPENDENT,17100 ROBISON WOODS RD,CYPRESS,77429,18,138,108,67
101907141,CYPRESS-FAIRBAN,TIPPS ELEM.,3,INDEPENDENT,5611 QUEENSTON BLVD,HOUSTON,77084,69,83,47,10
101907142,CYPRESS-FAIRBAN,DURYEA ELEM.,3,INDEPENDENT,20150 ARBOR CREEK DR,KATY,77449,30,104,44,20
101907143,CYPRESS-FAIRBAN,KEITH ELEM.,3,INDEPENDENT,20550 FAIRFIELD GREEN,CYPRESS,77433,8,141,104,62
101907144,CYPRESS-FAIRBAN,LEE ELEM.,3,INDEPENDENT,12900 W LITTLE YORK RD,HOUSTON,77041,16,122,71,40
101907145,CYPRESS-FAIRBAN,DANISH ELEM.,3,INDEPENDENT,11850 FALLBROOK DR,HOUSTON,77065,30,101,48,12
101907146,CYPRESS-FAIRBAN,ANDRE ELEM.,3,INDEPENDENT,8111 FRY RD,CYPRESS,77433,27,102,51,23
101907147,CYPRESS-FAIRBAN,POSTMA ELEM.,3,INDEPENDENT,18425 W RD,CYPRESS,77433,23,138,84,36
101907148,CYPRESS-FAIRBAN,BLACK ELEM.,3,INDEPENDENT,14155 GRANT RD,CYPRESS,77429,33,123,76,40
101907149,CYPRESS-FAIRBAN,WARNER ELEM.,3,INDEPENDENT,10400 WARNER SMITH BLVD,CYPRESS,77433,13,193,144,75
101907150,CYPRESS-FAIRBAN,MCFEE ELEM.,3,INDEPENDENT,19315 PLANTATION COVE LN,KATY,77449,31,138,71,29
101907151,CYPRESS-FAIRBAN,HEMMENWAY ELEM.,3,INDEPENDENT,20400 W LITTLE YORK,KATY,77449,50,109,49,21
101907152,CYPRESS-FAIRBAN,ROBINSON ELEM.,3,INDEPENDENT,4321 WESTFIELD VILLAGE DR,KATY,77449,50,122,56,18
101907153,CYPRESS-FAIRBAN,SWENKE ELEM.,3,INDEPENDENT,22400 FAIRFIELD PLACE DR,CYPRESS,77433,18,161,124,77
101907154,CYPRESS-FAIRBAN,EMERY ELEM.,3,INDEPENDENT,19636 PLANTATION MYRTLES DR,KATY,77449-4208,42,108,43,13
101907155,CYPRESS-FAIRBAN,RENNELL ELEM.,3,INDEPENDENT,19500 TUCKERTON BLVD,CYPRESS,77433,16,146,109,60
101907156,CYPRESS-FAIRBAN,POPE ELEM.,3,INDEPENDENT,19019 N BRIDGELAND LAKE PKWY,CYPRESS,77433-0000,4,123,104,74
101907157,CYPRESS-FAIRBAN,WOODARD ELEM.,3,INDEPENDENT,17501 CYPRESS N HOUSTON RD,CYPRESS,77433,21,132,80,39
101907158,CYPRESS-FAIRBAN,WELLS ELEM.,3,INDEPENDENT,10607 MASON RD,CYPRESS,77433,10,101,79,43
101908101,DEER PARK ISD,CARPENTER ELEM.,3,INDEPENDENT,5002 PASADENA BLVD,DEER PARK,77536-5799,31,120,74,30
101908102,DEER PARK ISD,DEEPWATER ELEM.,3,INDEPENDENT,309 GLENMORE,PASADENA,77503-1518,43,110,47,17
101908104,DEER PARK ISD,SAN JACINTO ELE,3,INDEPENDENT,1302 E THIRTEENTH ST,DEER PARK,77536-2798,24,105,54,24
101908105,DEER PARK ISD,DEER PARK ELEM.,3,INDEPENDENT,2920 LUELLA,DEER PARK,77536-5199,20,117,78,37
101908107,DEER PARK ISD,J.P. DABBS ELEM,3,INDEPENDENT,302 E LAMBUTH,DEER PARK,77536-6399,23,101,56,25
101908108,DEER PARK ISD,FAIRMONT ELEM.,3,INDEPENDENT,4315 HEATHFIELD,PASADENA,77505-2748,8,119,84,50
101910101,GALENA PARK ISD,CIMARRON ELEM.,3,INDEPENDENT,816 CIMARRON,HOUSTON,77015-4308,9,62,39,19
101910102,GALENA PARK ISD,CLOVERLEAF ELEM,3,INDEPENDENT,1035 FRANKIE,HOUSTON,77015-5180,14,43,30,13
101910104,GALENA PARK ISD,GALENA PARK ELE,3,INDEPENDENT,401 N MAIN,GALENA PARK,77547-3258,8,44,30,18
101910105,GALENA PARK ISD,GREEN VALLEY EL,3,INDEPENDENT,13350 WOODFOREST BLVD,HOUSTON,77015-4944,37,71,33,5
101910106,GALENA PARK ISD,JACINTO CITY EL,3,INDEPENDENT,10910 WIGGINS,HOUSTON,77029-2893,7,67,42,19
101910107,GALENA PARK ISD,MACARTHUR ELEM.,3,INDEPENDENT,1801 N MAIN,GALENA PARK,77547-2339,14,60,31,15
101910108,GALENA PARK ISD,NORTH SHORE ELE,3,INDEPENDENT,14310 DUNCANNON,HOUSTON,77015-2514,33,62,26,14
101910109,GALENA PARK ISD,PYBURN ELEM.,3,INDEPENDENT,12302 COULSON,HOUSTON,77015-6104,9,72,53,32
101910110,GALENA PARK ISD,WOODLAND ACRES,3,INDEPENDENT,12936 SARAH LN,HOUSTON,77015-6360,10,33,25,7
101910111,GALENA PARK ISD,TICE ELEM.,3,INDEPENDENT,14120 WALLISVILLE,HOUSTON,77049-4031,19,56,35,18
101910112,GALENA PARK ISD,PURPLE SAGE ELE,3,INDEPENDENT,6500 PURPLE SAGE BLVD,HOUSTON,77049-3800,8,41,26,13
101910113,GALENA PARK ISD,JAMES B. HAVARD,3,INDEPENDENT,15150 WALLISVILLE RD,HOUSTON,77049-4620,20,85,46,21
101910114,GALENA PARK ISD,NORMANDY CROSSI,3,INDEPENDENT,12500 NORMANDY CROSSING DR,HOUSTON,77015,15,59,21,13
101910115,GALENA PARK ISD,DR. SHIRLEY J.,3,INDEPENDENT,6720 NEW FOREST PKWY,HOUSTON,77049,23,70,39,17
101910116,GALENA PARK ISD,SAM HOUSTON ELE,3,INDEPENDENT,4101 E SAM HOUSTON PKWY N,HOUSTON,77015,15,41,25,15
101911101,GOOSE CREEK CIS,ALAMO ELEM.,3,INDEPENDENT,6100 N MAIN,BAYTOWN,77521-4124,21,72,44,21
101911102,GOOSE CREEK CIS,STEPHEN F. AUST,3,INDEPENDENT,3022 MASSEY TOMPKINS,BAYTOWN,77521-2831,24,100,58,19
101911103,GOOSE CREEK CIS,JAMES BOWIE ELE,3,INDEPENDENT,2200 CLAYTON DR,BAYTOWN,77520-3643,45,93,45,22
101911105,GOOSE CREEK CIS,CARVER ELEM.,3,INDEPENDENT,600 S PRUETT,BAYTOWN,77520-7045,21,95,67,26
101911107,GOOSE CREEK CIS,HARLEM ELEM.,3,INDEPENDENT,3333 INTERSTATE 10 E,BAYTOWN,77521-8219,36,62,35,22
101911108,GOOSE CREEK CIS,HIGHLANDS ELEM.,3,INDEPENDENT,200 E WALLISVILLE RD,HIGHLANDS,77562-3824,53,137,64,24
101911111,GOOSE CREEK CIS,LAMAR ELEM.,3,INDEPENDENT,816 N PRUETT ST,BAYTOWN,77520-4529,22,80,40,22
101911112,GOOSE CREEK CIS,SAN JACINTO ELE,3,INDEPENDENT,2615 VIRGINIA ST,BAYTOWN,77520-6065,26,43,25,12
101911113,GOOSE CREEK CIS,ASHBEL SMITH EL,3,INDEPENDENT,403 E JAMES,BAYTOWN,77520-5065,23,83,43,24
101911114,GOOSE CREEK CIS,TRAVIS ELEM.,3,INDEPENDENT,100 ROBIN RD,BAYTOWN,77520-1348,44,81,40,16
101911118,GOOSE CREEK CIS,CROCKETT ELEM.,3,INDEPENDENT,4500 BARKALOO RD,BAYTOWN,77521-3453,21,100,67,41
101911120,GOOSE CREEK CIS,DE ZAVALA ELEM.,3,INDEPENDENT,305 TRI CITY BEACH RD,BAYTOWN,77520-7313,37,65,21,10
101911122,GOOSE CREEK CIS,VICTORIA WALKER,3,INDEPENDENT,4711 SEABIRD ST,BAYTOWN,77521,38,91,49,21
101911123,GOOSE CREEK CIS,CLARK ELEM.,3,INDEPENDENT,6033 N HWY 146,BAYTOWN,77521,26,91,52,24
101911125,GOOSE CREEK CIS,BANUELOS ELEM.,3,INDEPENDENT,7770 EASTPOINT BLVD,BAYTOWN,77521,31,114,54,23
101912013,HOUSTON ISD,COMMUNITY SERVI,3,INDEPENDENT,1102 TELEPHONE RD,HOUSTON,77023-3126,,,,
101912039,HOUSTON ISD,T.H. ROGERS SCH,3,INDEPENDENT,5840 SAN FELIPE ST,HOUSTON,77057-3059,9,65,58,43
101912058,HOUSTON ISD,GREGORY-LINCOLN,3,INDEPENDENT,1101 TAFT,HOUSTON,77019-4537,30,46,21,8
101912080,HOUSTON ISD,RICE SCHOOL -LA,3,INDEPENDENT,7550 SEUSS DR,HOUSTON,77025-1501,21,66,36,18
101912100,HOUSTON ISD,TEXAS CONNECTIO,3,INDEPENDENT,10550 RICHMOND AVE HOUSTON TX #140,HOUSTON,77042-5112,65,106,51,28
101912102,HOUSTON ISD,ALCOTT ELEM.,3,INDEPENDENT,5859 BELLFORT,HOUSTON,77033-2199,15,18,7,3
101912104,HOUSTON ISD,ALMEDA ELEM.,3,INDEPENDENT,14249 BRIDGEPORT RD,HOUSTON,77047-5061,19,82,52,26
101912105,HOUSTON ISD,ANDERSON ELEM.,3,INDEPENDENT,5727 LUDINGTON DR,HOUSTON,77035-4399,20,61,41,24
101912106,HOUSTON ISD,ATHERTON ELEM.,3,INDEPENDENT,2011 SOLO ST,HOUSTON,77020-4223,28,69,36,7
101912107,HOUSTON ISD,BARRICK ELEM.,3,INDEPENDENT,12001 WINFREY LN,HOUSTON,77076-1239,17,49,30,16
101912108,HOUSTON ISD,BASTIAN ELEM.,3,INDEPENDENT,5051 BELLFORT,HOUSTON,77033-3826,32,42,18,6
101912109,HOUSTON ISD,BERRY ELEM.,3,INDEPENDENT,2310 BERRY RD,HOUSTON,77093-7418,9,70,54,34
101912110,HOUSTON ISD,BLACKSHEAR ELEM,3,INDEPENDENT,2900 HOLMAN AVE,HOUSTON,77004-3240,23,43,19,6
101912111,HOUSTON ISD,BONHAM ELEM.,3,INDEPENDENT,8302 BRAES RIVER DR,HOUSTON,77074-4212,28,41,22,11
101912112,HOUSTON ISD,BONNER ELEM.,3,INDEPENDENT,8100 ELROD ST,HOUSTON,77017-5216,25,47,27,14
101912113,HOUSTON ISD,RODERICK R. PAI,3,INDEPENDENT,7501 CURRY RD,HOUSTON,77093-8821,17,17,6,3
101912114,HOUSTON ISD,BRAEBURN ELEM.,3,INDEPENDENT,7707 RAMPART ST,HOUSTON,77081-7105,20,60,36,20
101912115,HOUSTON ISD,DURHAM ELEM.,3,INDEPENDENT,4803 BRINKMAN ST,HOUSTON,77018-2021,21,49,34,16
101912116,HOUSTON ISD,BRIARGROVE ELEM,3,INDEPENDENT,6145 SAN FELIPE ST,HOUSTON,77057-2899,32,108,75,45
101912117,HOUSTON ISD,BRISCOE ELEM.,3,INDEPENDENT,321 FOREST HILL,HOUSTON,77011-4801,15,20,11,4
101912119,HOUSTON ISD,BROOKLINE ELEM.,3,INDEPENDENT,6301 S LOOP E,HOUSTON,77087-1933,8,58,35,13
101912120,HOUSTON ISD,BROWNING ELEM.,3,INDEPENDENT,607 NORTHWOOD ST,HOUSTON,77009-4510,14,62,28,8
101912121,HOUSTON ISD,BRUCE ELEM.,3,INDEPENDENT,510 JENSEN DR,HOUSTON,77020-5834,28,41,23,8
101912122,HOUSTON ISD,BURBANK ELEM.,3,INDEPENDENT,216 TIDWELL,HOUSTON,77022-2046,14,104,73,42
101912123,HOUSTON ISD,CODWELL ELEM.,3,INDEPENDENT,5225 TAVENOR LN,HOUSTON,77048-1701,31,32,16,7
101912124,HOUSTON ISD,BURNET ELEM.,3,INDEPENDENT,5403 CANAL ST,HOUSTON,77011-2307,11,46,26,14
101912125,HOUSTON ISD,BURRUS ELEM.,3,INDEPENDENT,701 E 33RD ST,HOUSTON,77022-5101,17,34,15,5
101912127,HOUSTON ISD,WOODSON SCHOOL,3,INDEPENDENT,10720 SOUTHVIEW ST,HOUSTON,77047-1038,31,32,16,6
101912128,HOUSTON ISD,LYONS ELEM.,3,INDEPENDENT,800 ROXELLA RD,HOUSTON,77076-4431,12,69,58,35
101912130,HOUSTON ISD,CONDIT ELEM.,3,INDEPENDENT,7000 S THIRD,BELLAIRE,77401-4496,8,118,85,59
101912132,HOUSTON ISD,CO-OP ELEM.,3,INDEPENDENT,10130 ALDINE WESTFIELD RD,HOUSTON,77093-5449,23,104,67,26
101912133,HOUSTON ISD,CORNELIUS ELEM.,3,INDEPENDENT,7475 WESTOVER ST,HOUSTON,77087-6113,14,99,70,40
101912135,HOUSTON ISD,CROCKETT ELEM.,3,INDEPENDENT,2112 CROCKETT ST,HOUSTON,77007-3923,17,52,23,8
101912136,HOUSTON ISD,CUNNINGHAM ELEM,3,INDEPENDENT,5100 GULFTON ST,HOUSTON,77081-2906,23,56,25,13
101912137,HOUSTON ISD,DE CHAUMES ELEM,3,INDEPENDENT,155 COOPER,HOUSTON,77076-2541,9,41,24,19
101912138,HOUSTON ISD,DE ZAVALA ELEM.,3,INDEPENDENT,7521 AVE H,HOUSTON,77012-1199,6,71,47,23
101912140,HOUSTON ISD,DOGAN ELEM.,3,INDEPENDENT,4202 LIBERTY RD,HOUSTON,77026-5824,38,38,23,7
101912144,HOUSTON ISD,DURKEE ELEM.,3,INDEPENDENT,7301 NORDLING,HOUSTON,77076-1636,22,21,6,3
101912147,HOUSTON ISD,ELIOT ELEM.,3,INDEPENDENT,6411 LAREDO ST,HOUSTON,77020-4930,12,39,25,12
101912148,HOUSTON ISD,ELROD ELEM.,3,INDEPENDENT,6230 DUMFRIES DR,HOUSTON,77096-4603,11,42,27,13
101912149,HOUSTON ISD,EMERSON ELEM.,3,INDEPENDENT,9533 SKYLINE DR,HOUSTON,77063-5215,45,91,51,20
101912151,HOUSTON ISD,BELL ELEM.,3,INDEPENDENT,12323 SHAFTSBURY DR,HOUSTON,77031-3123,22,60,29,9
101912152,HOUSTON ISD,FIELD ELEM.,3,INDEPENDENT,703 E 17TH ST,HOUSTON,77008-4414,2,67,51,27
101912153,HOUSTON ISD,FONDREN ELEM.,3,INDEPENDENT,12405 CARLSBAD ST,HOUSTON,77085-1224,10,19,9,6
101912154,HOUSTON ISD,FOSTER ELEM.,3,INDEPENDENT,3919 WARD ST,HOUSTON,77021-4861,16,48,34,17
101912155,HOUSTON ISD,FRANKLIN ELEM.,3,INDEPENDENT,7101 CANAL ST,HOUSTON,77011-2753,14,31,14,7
101912156,HOUSTON ISD,FROST ELEM.,3,INDEPENDENT,5002 ALMEDA-GENOA RD,HOUSTON,77048-4725,19,62,37,16
101912157,HOUSTON ISD,GARDEN OAKS MON,3,INDEPENDENT,901 SUE BARNETT DR,HOUSTON,77018-5415,21,66,36,19
101912158,HOUSTON ISD,GARDEN VILLAS E,3,INDEPENDENT,7185 SANTA FE,HOUSTON,77061-2621,30,41,13,4
101912159,HOUSTON ISD,GOLFCREST ELEM.,3,INDEPENDENT,7414 FAIRWAY DR,HOUSTON,77087-3623,12,27,10,3
101912162,HOUSTON ISD,GREGG ELEM.,3,INDEPENDENT,6701 ROXBURY,HOUSTON,77087-5103,16,25,16,10
101912166,HOUSTON ISD,HARRIS J.R. ELE,3,INDEPENDENT,801 BROADWAY ST,HOUSTON,77012-2124,29,41,22,9
101912167,HOUSTON ISD,HARRIS R.P. ELE,3,INDEPENDENT,1262 MAE DR,HOUSTON,77015-5515,22,16,7,3
101912168,HOUSTON ISD,HARTSFIELD ELEM,3,INDEPENDENT,5001 PERRY ST,HOUSTON,77021-3515,28,26,17,6
101912169,HOUSTON ISD,HARVARD ELEM.,3,INDEPENDENT,810 HARVARD ST,HOUSTON,77007-1607,9,96,63,37
101912170,HOUSTON ISD,HELMS ELEM.,3,INDEPENDENT,503 W 21ST ST,HOUSTON,77008-3641,4,46,35,21
101912171,HOUSTON ISD,HENDERSON J. EL,3,INDEPENDENT,1800 DISMUKE,HOUSTON,77023-4753,10,35,19,8
101912172,HOUSTON ISD,HENDERSON N. EL,3,INDEPENDENT,701 SOLO ST,HOUSTON,77020-7213,22,25,9,3
101912173,HOUSTON ISD,HEROD ELEM.,3,INDEPENDENT,5627 JASON ST,HOUSTON,77096-2110,27,86,57,40
101912174,HOUSTON ISD,HIGHLAND HEIGHT,3,INDEPENDENT,865 PAUL QUINN ST,HOUSTON,77091-4154,23,20,6,1
101912175,HOUSTON ISD,HOBBY ELEM.,3,INDEPENDENT,4021 WOODMONT DR,HOUSTON,77045-3515,43,57,32,11
