CAMPUS,DNAME,CNAME,GRADE,District Type,School Street Address,School City,School Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
101902106,ALDINE ISD,GOODMAN ELEM.,4,INDEPENDENT,9325 DEER TRL DR,HOUSTON,77088-1999,21.0,55.0,26.0,14.0
101902107,ALDINE ISD,CARTER ACAD.,4,INDEPENDENT,3111 FALLBROOK DR,HOUSTON,77038-1905,25.0,99.0,54.0,24.0
101902110,ALDINE ISD,WORSHAM ELEM.,4,INDEPENDENT,3007 HARTWICK RD,HOUSTON,77093-1219,56.0,86.0,35.0,18.0
101902111,ALDINE ISD,OLESON ELEM.,4,INDEPENDENT,12345 VICKERY ST,HOUSTON,77039-3699,26.0,115.0,65.0,38.0
101902112,ALDINE ISD,ORANGE GROVE EL,4,INDEPENDENT,4514 MOUNT HOUSTON RD,HOUSTON,77093-1440,64.0,90.0,37.0,12.0
101902113,ALDINE ISD,RAYMOND ELEM.,4,INDEPENDENT,1605 CONNORVALE RD,HOUSTON,77039-3014,31.0,119.0,58.0,30.0
101902114,ALDINE ISD,SMITH ELEM.,4,INDEPENDENT,5815 W LITTLE YORK RD,HOUSTON,77091-1199,29.0,72.0,40.0,14.0
101902115,ALDINE ISD,ODOM ELEM.,4,INDEPENDENT,14701 HENRY RD,HOUSTON,77060-5625,13.0,81.0,62.0,40.0
101902116,ALDINE ISD,JOHNSON ELEM.,4,INDEPENDENT,13901 HOMESTEAD RD,HUMBLE,77396,31.0,122.0,62.0,29.0
101902117,ALDINE ISD,THOMPSON ELEM.,4,INDEPENDENT,220 CASA GRANDE DR,HOUSTON,77060-4899,18.0,115.0,80.0,46.0
101902118,ALDINE ISD,SAMMONS ELEM.,4,INDEPENDENT,2301 FRICK RD,HOUSTON,77038-1701,27.0,94.0,69.0,43.0
101902119,ALDINE ISD,STEPHENS ELEM.,4,INDEPENDENT,2402 ALDINE MAIL ROUTE RD,HOUSTON,77039-5510,12.0,113.0,78.0,43.0
101902121,ALDINE ISD,ERMEL ELEM.,4,INDEPENDENT,7103 WOODSMAN TRL,HOUSTON,77040-1839,14.0,83.0,54.0,27.0
101902122,ALDINE ISD,CARMICHAEL ELEM,4,INDEPENDENT,6902 SILVER STAR DR,HOUSTON,77086-2134,26.0,86.0,56.0,33.0
101902123,ALDINE ISD,CONLEY ELEM.,4,INDEPENDENT,3345 W GREENS RD,HOUSTON,77066-4920,34.0,66.0,33.0,14.0
101902124,ALDINE ISD,DUNN ELEM.,4,INDEPENDENT,2003 W W THORNE DR,HOUSTON,77073-3301,20.0,78.0,40.0,15.0
101902125,ALDINE ISD,GRAY ELEM.,4,INDEPENDENT,700 W RD,HOUSTON,77038-2506,23.0,98.0,48.0,19.0
101902126,ALDINE ISD,BLACK ELEM.,4,INDEPENDENT,160 MILLSTREAM,HOUSTON,77060-4199,22.0,73.0,52.0,31.0
101902128,ALDINE ISD,CALVERT ELEM.,4,INDEPENDENT,1925 MARVELL DR,HOUSTON,77032-2085,11.0,70.0,33.0,14.0
101902129,ALDINE ISD,HARRIS ELEM.,4,INDEPENDENT,3130 HOLDER FOREST DR,HOUSTON,77088,33.0,77.0,32.0,10.0
101902130,ALDINE ISD,KUJAWA ELEM.,4,INDEPENDENT,7007 FALLBROOK DR,HOUSTON,77086,37.0,105.0,65.0,33.0
101902131,ALDINE ISD,BUSSEY ELEM.,4,INDEPENDENT,11555 AIRLINE,HOUSTON,77037,35.0,60.0,30.0,14.0
101902132,ALDINE ISD,SPENCE ELEM.,4,INDEPENDENT,1300 GEARS RD,HOUSTON,77067,44.0,68.0,31.0,15.0
101902134,ALDINE ISD,JONES ELEM.,4,INDEPENDENT,7903 FOREST POINT DR,HUMBLE,77338,37.0,134.0,78.0,32.0
101902135,ALDINE ISD,GREENSPOINT ELE,4,INDEPENDENT,18020 CHISOLM TRAIL,HOUSTON,77060,31.0,105.0,50.0,24.0
101902136,ALDINE ISD,CYPRESSWOOD ELE,4,INDEPENDENT,6901 CYPRESSWOOD POINT AV,HOUSTON,77338,107.0,117.0,58.0,24.0
101902137,ALDINE ISD,ECKERT ELEM.,4,INDEPENDENT,1430 ALDINE MEADOWS RD,HOUSTON,77032,50.0,75.0,23.0,9.0
101902138,ALDINE ISD,ESCAMILLA ELEM.,4,INDEPENDENT,5241 E MT HOUSTON RD,HOUSTON,77093,50.0,109.0,62.0,32.0
101902139,ALDINE ISD,STEHLIK ELEM.,4,INDEPENDENT,400 W RD,HOUSTON,77038,56.0,80.0,33.0,17.0
101902140,ALDINE ISD,PARKER ELEM.,4,INDEPENDENT,19850 E HARDY RD,HOUSTON,77073,31.0,98.0,40.0,18.0
101902141,ALDINE ISD,CARAWAY ELEM.,4,INDEPENDENT,3031 ELLINGTON ST,HOUSTON,77088,36.0,84.0,35.0,12.0
101902142,ALDINE ISD,WILSON ELEM.,4,INDEPENDENT,3131 FALLBROOK DR,HOUSTON,77038,22.0,57.0,35.0,16.0
101902143,ALDINE ISD,REED ACAD.,4,INDEPENDENT,1616 LAUDER RD,HOUSTON,77039,51.0,115.0,62.0,38.0
101902144,ALDINE ISD,HILL ELEM.,4,INDEPENDENT,2625 W MOUNT HOUSTON,HOUSTON,77038,60.0,82.0,41.0,20.0
101902145,ALDINE ISD,MARCELLA ELEM.,4,INDEPENDENT,16250 COTILLION DR,HOUSTON,77060,25.0,67.0,32.0,15.0
101902146,ALDINE ISD,OGDEN ELEM.,4,INDEPENDENT,21919 RAYFORD RD,HOUSTON,77338,65.0,88.0,41.0,19.0
101903101,ALIEF ISD,YOUENS ELEM.,4,INDEPENDENT,12141 HIGH STAR,HOUSTON,77072-1209,72.0,78.0,47.0,26.0
101903102,ALIEF ISD,BOONE ELEM.,4,INDEPENDENT,11400 BISSONNET,HOUSTON,77099-1903,56.0,111.0,70.0,55.0
101903103,ALIEF ISD,MARTIN ELEM.,4,INDEPENDENT,11718 HENDON,HOUSTON,77072-3416,46.0,111.0,68.0,39.0
101903104,ALIEF ISD,CHAMBERS ELEM.,4,INDEPENDENT,10700 CARVEL,HOUSTON,77072-2720,50.0,76.0,48.0,26.0
101903105,ALIEF ISD,SMITH ELEM.,4,INDEPENDENT,11300 STANCLIFF,HOUSTON,77099-4202,59.0,94.0,46.0,22.0
101903106,ALIEF ISD,MAHANAY ELEM.,4,INDEPENDENT,13215 HIGH STAR,HOUSTON,77083-1905,17.0,78.0,58.0,38.0
101903107,ALIEF ISD,KENNEDY ELEM.,4,INDEPENDENT,10200 HUNTINGTON PL DR,HOUSTON,77099-2335,47.0,105.0,68.0,37.0
101903108,ALIEF ISD,CHANCELLOR ELEM,4,INDEPENDENT,4350 BOONE RD,HOUSTON,77072-1916,46.0,85.0,41.0,25.0
101903109,ALIEF ISD,LIESTMAN ELEM.,4,INDEPENDENT,7610 SYNOTT RD,HOUSTON,77083-5106,44.0,111.0,66.0,43.0
101903110,ALIEF ISD,PETROSKY ELEM.,4,INDEPENDENT,6703 WINKLEMAN,HOUSTON,77083-2428,19.0,108.0,70.0,42.0
101903111,ALIEF ISD,HEFLIN ELEM.,4,INDEPENDENT,3303 SYNOTT RD,HOUSTON,77082-4926,40.0,98.0,57.0,36.0
101903112,ALIEF ISD,CUMMINGS ELEM.,4,INDEPENDENT,10455 S KIRKWOOD,HOUSTON,77099-5018,34.0,70.0,35.0,24.0
101903113,ALIEF ISD,REES ELEM.,4,INDEPENDENT,16305 KENSLEY,HOUSTON,77082-2847,17.0,97.0,64.0,34.0
101903114,ALIEF ISD,ALEXANDER ELEM.,4,INDEPENDENT,8500 BROOKWULF,HOUSTON,77099,38.0,92.0,55.0,33.0
101903115,ALIEF ISD,HEARNE ELEM.,4,INDEPENDENT,13939 RIO BONITO,HOUSTON,77083-1531,50.0,121.0,75.0,36.0
101903116,ALIEF ISD,LANDIS ELEM.,4,INDEPENDENT,10255 SPICE LN,HOUSTON,77072-5035,51.0,92.0,39.0,16.0
101903117,ALIEF ISD,SNEED ELEM.,4,INDEPENDENT,9855 PAGEWOOD LN,HOUSTON,77042-5523,72.0,119.0,68.0,35.0
101903118,ALIEF ISD,BEST ELEM.,4,INDEPENDENT,10000 CENTRE PKWY,HOUSTON,77036-8200,47.0,91.0,57.0,34.0
101903119,ALIEF ISD,OUTLEY ELEM.,4,INDEPENDENT,12355 RICHMOND AVE,HOUSTON,77082-2435,64.0,154.0,105.0,67.0
101903120,ALIEF ISD,HICKS ELEM.,4,INDEPENDENT,8520 HEMLOCK HILL DR,HOUSTON,77083-6856,53.0,120.0,64.0,37.0
101903121,ALIEF ISD,BUSH ELEM.,4,INDEPENDENT,9730 STROUD DR,HOUSTON,77036-9999,61.0,94.0,60.0,35.0
101903122,ALIEF ISD,COLLINS ELEM.,4,INDEPENDENT,9829 TOWN PARK DR,HOUSTON,77036,68.0,85.0,43.0,27.0
101903123,ALIEF ISD,HORN ELEM.,4,INDEPENDENT,10734 BISSONETT,HOUSTON,77099,50.0,94.0,50.0,23.0
101903124,ALIEF ISD,HOLMQUIST ELEM.,4,INDEPENDENT,P O BOX 68,ALIEF,77411,64.0,147.0,104.0,51.0
101905042,CHANNELVIEW ISD,B.H. HAMBLEN EL,4,INDEPENDENT,1019 DELL DALE ST,CHANNELVIEW,77530,22.0,140.0,79.0,40.0
101905101,CHANNELVIEW ISD,VIOLA COBB ELEM,4,INDEPENDENT,915 DELL DALE ST,CHANNELVIEW,77530,22.0,60.0,43.0,24.0
101905102,CHANNELVIEW ISD,DE ZAVALA ELEM.,4,INDEPENDENT,16150 SECOND ST,CHANNELVIEW,77530,16.0,64.0,42.0,25.0
101905103,CHANNELVIEW ISD,SCHOCHLER ELEM.,4,INDEPENDENT,910 DEER PASS,CHANNELVIEW,77530,13.0,56.0,42.0,30.0
101905104,CHANNELVIEW ISD,MCMULLAN ELEM.,4,INDEPENDENT,1290 DELL DALE ST,CHANNELVIEW,77530,12.0,66.0,32.0,19.0
101905105,CHANNELVIEW ISD,CRENSHAW ELEM.,4,INDEPENDENT,16204 WOOD DR,CHANNELVIEW,77530,18.0,49.0,34.0,18.0
101905106,CHANNELVIEW ISD,HARVEY S. BROWN,4,INDEPENDENT,16550 WALLISVILLE RD,HOUSTON,77049,18.0,101.0,65.0,33.0
101906101,CROSBY ISD,NEWPORT ELEM.,4,INDEPENDENT,P O BOX 2009,CROSBY,77532-8009,33.0,86.0,42.0,28.0
101906103,CROSBY ISD,BARRETT ELEM.,4,INDEPENDENT,P O BOX 2009,CROSBY,77532-8009,19.0,45.0,20.0,14.0
101906104,CROSBY ISD,DREW ELEM.,4,INDEPENDENT,P O BOX 2009,CROSBY,77532-8009,54.0,85.0,36.0,13.0
101906106,CROSBY ISD,CROSBY ELEM.,4,INDEPENDENT,14705 FM 2100,CROSBY,77532,82.0,91.0,38.0,14.0
101907101,CYPRESS-FAIRBAN,BANE ELEM.,4,INDEPENDENT,5805 KAISER ST,HOUSTON,77040-5459,69.0,90.0,39.0,19.0
101907103,CYPRESS-FAIRBAN,LAMKIN ELEM.,4,INDEPENDENT,11521 TELGE RD,CYPRESS,77429-3386,35.0,115.0,73.0,49.0
101907104,CYPRESS-FAIRBAN,POST ELEM.,4,INDEPENDENT,7600 EQUADOR ST,HOUSTON,77040-2121,44.0,119.0,62.0,38.0
101907105,CYPRESS-FAIRBAN,MATZKE ELEM.,4,INDEPENDENT,13102 JONES RD,HOUSTON,77070-4438,50.0,103.0,57.0,33.0
101907106,CYPRESS-FAIRBAN,HOLBROOK ELEM.,4,INDEPENDENT,6402 LANGFIELD RD,HOUSTON,77092-1006,34.0,112.0,63.0,31.0
101907107,CYPRESS-FAIRBAN,ADAM ELEM.,4,INDEPENDENT,11303 HONEYGROVE LN,HOUSTON,77065-2413,46.0,99.0,56.0,34.0
101907108,CYPRESS-FAIRBAN,HANCOCK ELEM.,4,INDEPENDENT,13801 SCHROEDER RD,HOUSTON,77070-2628,45.0,81.0,49.0,18.0
101907109,CYPRESS-FAIRBAN,YEAGER ELEM.,4,INDEPENDENT,13615 CHAMPION FOREST DR,HOUSTON,77069-1801,58.0,84.0,50.0,30.0
101907110,CYPRESS-FAIRBAN,MILLSAP ELEM.,4,INDEPENDENT,12424 HUFFMEISTER RD,CYPRESS,77429-3281,22.0,104.0,75.0,49.0
101907111,CYPRESS-FAIRBAN,LIEDER ELEM.,4,INDEPENDENT,17003 KIETH HARROW BLVD,HOUSTON,77084-2510,52.0,96.0,50.0,19.0
101907112,CYPRESS-FAIRBAN,FRANCONE ELEM.,4,INDEPENDENT,11250 PERRY RD,HOUSTON,77064-4551,71.0,87.0,39.0,20.0
101907113,CYPRESS-FAIRBAN,HORNE ELEM.,4,INDEPENDENT,14950 W LITTLE YORK RD,HOUSTON,77084-1523,38.0,135.0,93.0,49.0
101907115,CYPRESS-FAIRBAN,MOORE ELEM.,4,INDEPENDENT,13734 LAKEWOOD FOREST DR,HOUSTON,77070-2814,30.0,102.0,73.0,36.0
101907116,CYPRESS-FAIRBAN,LOWERY ELEM.,4,INDEPENDENT,15950 RDG PARK DR,HOUSTON,77095-2612,32.0,140.0,94.0,60.0
101907117,CYPRESS-FAIRBAN,FRAZIER ELEM.,4,INDEPENDENT,8300 LITTLE RIVER RD,HOUSTON,77064-7904,34.0,79.0,42.0,14.0
101907118,CYPRESS-FAIRBAN,WILSON ELEM.,4,INDEPENDENT,18015 KIETH HARROW BLVD,HOUSTON,77084-5722,64.0,95.0,46.0,25.0
101907119,CYPRESS-FAIRBAN,OWENS ELEM.,4,INDEPENDENT,7939 JACKRABBIT RD,HOUSTON,77095-2901,59.0,85.0,47.0,29.0
101907120,CYPRESS-FAIRBAN,EMMOTT ELEM.,4,INDEPENDENT,11750 STEEPLEWAY BLVD,HOUSTON,77065-4366,63.0,67.0,38.0,24.0
101907121,CYPRESS-FAIRBAN,HOLMSLEY ELEM.,4,INDEPENDENT,7315 HUDSON OAKS DR,HOUSTON,77095-1149,34.0,98.0,47.0,26.0
101907122,CYPRESS-FAIRBAN,JOWELL ELEM.,4,INDEPENDENT,6355 GREENHOUSE RD,KATY,77449-4382,63.0,166.0,98.0,60.0
101907124,CYPRESS-FAIRBAN,FIEST ELEM.,4,INDEPENDENT,8425 PINE FALLS,HOUSTON,77095-4618,60.0,104.0,52.0,31.0
101907125,CYPRESS-FAIRBAN,BANG ELEM.,4,INDEPENDENT,8900 RIO GRANDE,HOUSTON,77064-7137,34.0,122.0,73.0,47.0
101907126,CYPRESS-FAIRBAN,HAMILTON ELEM.,4,INDEPENDENT,12050 KLUGE,CYPRESS,77429-2446,30.0,169.0,123.0,93.0
101907127,CYPRESS-FAIRBAN,METCALF ELEM.,4,INDEPENDENT,6100 QUEENSTON,HOUSTON,77084-6400,47.0,94.0,52.0,24.0
101907128,CYPRESS-FAIRBAN,HAIRGROVE ELEM.,4,INDEPENDENT,7120 N ELDRIDGE PKWY,HOUSTON,77041-1883,17.0,112.0,80.0,51.0
101907129,CYPRESS-FAIRBAN,REED ELEM.,4,INDEPENDENT,8700 TAMI RENEE LN,HOUSTON,77040-2400,46.0,116.0,65.0,39.0
101907130,CYPRESS-FAIRBAN,COPELAND ELEM.,4,INDEPENDENT,18018 FOREST HTS DR,HOUSTON,77095-4441,23.0,139.0,88.0,59.0
101907131,CYPRESS-FAIRBAN,WILLBERN ELEM.,4,INDEPENDENT,10811 GOODSPRING DR,HOUSTON,77064-9419,31.0,93.0,64.0,35.0
101907132,CYPRESS-FAIRBAN,SHERIDAN ELEM.,4,INDEPENDENT,19790 KIETH HARROW BLVD,KATY,77449-7003,55.0,115.0,60.0,26.0
101907133,CYPRESS-FAIRBAN,AULT ELEM.,4,INDEPENDENT,21010 MAPLE VILLAGE DR,CYPRESS,77429-5722,41.0,160.0,98.0,60.0
101907134,CYPRESS-FAIRBAN,KIRK ELEM.,4,INDEPENDENT,12421 TANNER RD,HOUSTON,77041,45.0,117.0,53.0,31.0
101907135,CYPRESS-FAIRBAN,FARNEY ELEM.,4,INDEPENDENT,14425 BARKER CYPRESS,CYPRESS,77429,26.0,175.0,136.0,97.0
101907136,CYPRESS-FAIRBAN,GLEASON ELEM.,4,INDEPENDENT,9202 WILLOWBRIDGE PARK BLVD,HOUSTON,77064,38.0,119.0,81.0,55.0
101907137,CYPRESS-FAIRBAN,WALKER ELEM.,4,INDEPENDENT,6424 SETTLERS VILLAGE,KATY,77449,41.0,103.0,54.0,27.0
101907138,CYPRESS-FAIRBAN,SAMPSON ELEM.,4,INDEPENDENT,16002 COLES CROSSING DR,CYPRESS,77429,6.0,189.0,156.0,115.0
101907139,CYPRESS-FAIRBAN,BIRKES ELEM.,4,INDEPENDENT,8500 QUEENSTON BLVD,HOUSTON,77095,19.0,167.0,145.0,108.0
101907140,CYPRESS-FAIRBAN,ROBISON ELEM.,4,INDEPENDENT,17100 ROBISON WOODS RD,CYPRESS,77429,46.0,150.0,100.0,59.0
101907141,CYPRESS-FAIRBAN,TIPPS ELEM.,4,INDEPENDENT,5611 QUEENSTON BLVD,HOUSTON,77084,29.0,105.0,65.0,33.0
101907142,CYPRESS-FAIRBAN,DURYEA ELEM.,4,INDEPENDENT,20150 ARBOR CREEK DR,KATY,77449,46.0,98.0,53.0,21.0
101907143,CYPRESS-FAIRBAN,KEITH ELEM.,4,INDEPENDENT,20550 FAIRFIELD GREEN,CYPRESS,77433,21.0,165.0,134.0,100.0
101907144,CYPRESS-FAIRBAN,LEE ELEM.,4,INDEPENDENT,12900 W LITTLE YORK RD,HOUSTON,77041,34.0,113.0,75.0,48.0
101907145,CYPRESS-FAIRBAN,DANISH ELEM.,4,INDEPENDENT,11850 FALLBROOK DR,HOUSTON,77065,30.0,114.0,56.0,29.0
101907146,CYPRESS-FAIRBAN,ANDRE ELEM.,4,INDEPENDENT,8111 FRY RD,CYPRESS,77433,45.0,114.0,59.0,26.0
101907147,CYPRESS-FAIRBAN,POSTMA ELEM.,4,INDEPENDENT,18425 W RD,CYPRESS,77433,13.0,130.0,86.0,57.0
101907148,CYPRESS-FAIRBAN,BLACK ELEM.,4,INDEPENDENT,14155 GRANT RD,CYPRESS,77429,15.0,145.0,105.0,71.0
101907149,CYPRESS-FAIRBAN,WARNER ELEM.,4,INDEPENDENT,10400 WARNER SMITH BLVD,CYPRESS,77433,17.0,247.0,212.0,157.0
101907150,CYPRESS-FAIRBAN,MCFEE ELEM.,4,INDEPENDENT,19315 PLANTATION COVE LN,KATY,77449,64.0,109.0,62.0,36.0
101907151,CYPRESS-FAIRBAN,HEMMENWAY ELEM.,4,INDEPENDENT,20400 W LITTLE YORK,KATY,77449,51.0,90.0,45.0,23.0
101907152,CYPRESS-FAIRBAN,ROBINSON ELEM.,4,INDEPENDENT,4321 WESTFIELD VILLAGE DR,KATY,77449,70.0,137.0,71.0,33.0
101907153,CYPRESS-FAIRBAN,SWENKE ELEM.,4,INDEPENDENT,22400 FAIRFIELD PLACE DR,CYPRESS,77433,16.0,186.0,155.0,110.0
101907154,CYPRESS-FAIRBAN,EMERY ELEM.,4,INDEPENDENT,19636 PLANTATION MYRTLES DR,KATY,77449,68.0,116.0,71.0,38.0
101907155,CYPRESS-FAIRBAN,RENNELL ELEM.,4,INDEPENDENT,19500 TUCKERTON BLVD,CYPRESS,77433,14.0,118.0,91.0,68.0
101907156,CYPRESS-FAIRBAN,POPE ELEM.,4,INDEPENDENT,19019 N BRIDGELAND LAKE PKWY,CYPRESS,77433,7.0,123.0,107.0,79.0
101907157,CYPRESS-FAIRBAN,WOODARD ELEM.,4,INDEPENDENT,P O BOX 692003,HOUSTON,77269-2003,32.0,167.0,109.0,72.0
101907158,CYPRESS-FAIRBAN,WELLS ELEM.,4,INDEPENDENT,10607 MASON RD,CYPRESS,77433,11.0,144.0,111.0,83.0
101908101,DEER PARK ISD,CARPENTER ELEM.,4,INDEPENDENT,5002 PASADENA BLVD,DEER PARK,77536-5799,34.0,111.0,59.0,26.0
101908102,DEER PARK ISD,DEEPWATER ELEM.,4,INDEPENDENT,309 GLENMORE,PASADENA,77503-1518,66.0,164.0,85.0,39.0
101908104,DEER PARK ISD,SAN JACINTO ELE,4,INDEPENDENT,1302 E THIRTEENTH ST,DEER PARK,77536-2798,19.0,108.0,65.0,44.0
101908105,DEER PARK ISD,DEER PARK ELEM.,4,INDEPENDENT,2920 LUELLA,DEER PARK,77536-5199,11.0,126.0,93.0,65.0
101908107,DEER PARK ISD,J.P. DABBS ELEM,4,INDEPENDENT,302 E LAMBUTH,DEER PARK,77536-6399,26.0,90.0,60.0,39.0
101908108,DEER PARK ISD,FAIRMONT ELEM.,4,INDEPENDENT,4315 HEATHFIELD,PASADENA,77505-2748,13.0,155.0,123.0,83.0
101910101,GALENA PARK ISD,CIMARRON ELEM.,4,INDEPENDENT,816 CIMARRON,HOUSTON,77015-4308,26.0,81.0,44.0,27.0
101910102,GALENA PARK ISD,CLOVERLEAF ELEM,4,INDEPENDENT,1035 FRANKIE,HOUSTON,77015-5180,5.0,77.0,58.0,35.0
101910104,GALENA PARK ISD,GALENA PARK ELE,4,INDEPENDENT,401 N MAIN,GALENA PARK,77547-3258,21.0,66.0,37.0,23.0
101910105,GALENA PARK ISD,GREEN VALLEY EL,4,INDEPENDENT,13350 WOODFOREST BLVD,HOUSTON,77015-4944,38.0,68.0,43.0,28.0
101910106,GALENA PARK ISD,JACINTO CITY EL,4,INDEPENDENT,10910 WIGGINS,HOUSTON,77029-2893,15.0,79.0,52.0,34.0
101910107,GALENA PARK ISD,MACARTHUR ELEM.,4,INDEPENDENT,1801 N MAIN,GALENA PARK,77547-2339,19.0,84.0,55.0,33.0
101910108,GALENA PARK ISD,NORTH SHORE ELE,4,INDEPENDENT,14310 DUNCANNON,HOUSTON,77015-2514,24.0,129.0,85.0,53.0
101910109,GALENA PARK ISD,PYBURN ELEM.,4,INDEPENDENT,12302 COULSON,HOUSTON,77015-6104,16.0,50.0,30.0,16.0
101910110,GALENA PARK ISD,WOODLAND ACRES,4,INDEPENDENT,12936 SARAH LN,HOUSTON,77015-6360,10.0,26.0,14.0,6.0
101910111,GALENA PARK ISD,TICE ELEM.,4,INDEPENDENT,14120 WALLISVILLE,HOUSTON,77049-4031,30.0,71.0,34.0,13.0
101910112,GALENA PARK ISD,PURPLE SAGE ELE,4,INDEPENDENT,6500 PURPLE SAGE BLVD,HOUSTON,77049-3800,17.0,58.0,32.0,19.0
101910113,GALENA PARK ISD,JAMES B. HAVARD,4,INDEPENDENT,15150 WALLISVILLE RD,HOUSTON,77049-4620,42.0,77.0,35.0,15.0
101910114,GALENA PARK ISD,NORMANDY CROSSI,4,INDEPENDENT,12500 NORMANDY CROSSING DR,HOUSTON,77015,17.0,72.0,39.0,21.0
101910115,GALENA PARK ISD,DR. SHIRLEY J.,4,INDEPENDENT,6720 NEW FOREST PKWY,HOUSTON,77049,11.0,71.0,46.0,20.0
101910116,GALENA PARK ISD,SAM HOUSTON ELE,4,INDEPENDENT,4101 E SAM HOUSTON PKWY N,HOUSTON,77015,16.0,84.0,55.0,26.0
101911101,GOOSE CREEK CIS,ALAMO ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,19.0,96.0,64.0,41.0
101911102,GOOSE CREEK CIS,STEPHEN F. AUST,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,26.0,99.0,65.0,43.0
101911103,GOOSE CREEK CIS,JAMES BOWIE ELE,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,38.0,87.0,50.0,21.0
101911105,GOOSE CREEK CIS,CARVER ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,29.0,85.0,39.0,18.0
101911107,GOOSE CREEK CIS,HARLEM ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,32.0,68.0,32.0,21.0
101911108,GOOSE CREEK CIS,HIGHLANDS ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,76.0,149.0,85.0,39.0
101911111,GOOSE CREEK CIS,LAMAR ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,35.0,74.0,36.0,21.0
101911112,GOOSE CREEK CIS,SAN JACINTO ELE,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,26.0,49.0,31.0,14.0
101911113,GOOSE CREEK CIS,ASHBEL SMITH EL,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,50.0,61.0,26.0,11.0
101911114,GOOSE CREEK CIS,TRAVIS ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,50.0,105.0,52.0,18.0
101911118,GOOSE CREEK CIS,CROCKETT ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522-0030,21.0,92.0,66.0,33.0
101911120,GOOSE CREEK CIS,DE ZAVALA ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77520-0030,50.0,44.0,17.0,7.0
101911122,GOOSE CREEK CIS,VICTORIA WALKER,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522,36.0,109.0,60.0,39.0
101911123,GOOSE CREEK CIS,CLARK ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522,35.0,78.0,44.0,23.0
101911125,GOOSE CREEK CIS,BANUELOS ELEM.,4,INDEPENDENT,P O BOX 30,BAYTOWN,77522,38.0,107.0,64.0,40.0
101912013,HOUSTON ISD,COMMUNITY SERVI,4,INDEPENDENT,1102 TELEPHONE RD,HOUSTON,77023-3126,,,,
101912039,HOUSTON ISD,T.H. ROGERS SCH,4,INDEPENDENT,5840 SAN FELIPE ST,HOUSTON,77057-3059,8.0,65.0,61.0,52.0
101912058,HOUSTON ISD,GREGORY-LINCOLN,4,INDEPENDENT,1101 TAFT,HOUSTON,77019-4537,34.0,42.0,21.0,11.0
101912080,HOUSTON ISD,RICE SCHOOL -LA,4,INDEPENDENT,7550 SEUSS DR,HOUSTON,77025-1501,47.0,61.0,29.0,17.0
101912100,HOUSTON ISD,TEXAS CONNECTIO,4,INDEPENDENT,10550 RICHMOND AVE HOUSTON TX #140,HOUSTON,77042-5112,106.0,115.0,58.0,24.0
101912102,HOUSTON ISD,ALCOTT ELEM.,4,INDEPENDENT,5859 BELLFORT,HOUSTON,77033-2199,8.0,31.0,17.0,9.0
101912104,HOUSTON ISD,ALMEDA ELEM.,4,INDEPENDENT,14226 ALMEDA SCHOOL RD,HOUSTON,77047-5061,48.0,75.0,42.0,22.0
101912105,HOUSTON ISD,ANDERSON ELEM.,4,INDEPENDENT,5727 LUDINGTON DR,HOUSTON,77035-4399,62.0,66.0,32.0,21.0
101912106,HOUSTON ISD,ATHERTON ELEM.,4,INDEPENDENT,2011 SOLO ST,HOUSTON,77020-4223,16.0,77.0,47.0,16.0
101912107,HOUSTON ISD,BARRICK ELEM.,4,INDEPENDENT,12001 WINFREY LN,HOUSTON,77076-1239,24.0,83.0,44.0,19.0
101912108,HOUSTON ISD,BASTIAN ELEM.,4,INDEPENDENT,5051 BELLFORT,HOUSTON,77033-3826,43.0,49.0,14.0,6.0
101912109,HOUSTON ISD,BERRY ELEM.,4,INDEPENDENT,2310 BERRY RD,HOUSTON,77093-7418,38.0,81.0,57.0,35.0
101912110,HOUSTON ISD,BLACKSHEAR ELEM,4,INDEPENDENT,2900 HOLMAN AVE,HOUSTON,77004-3240,20.0,39.0,20.0,9.0
101912111,HOUSTON ISD,BONHAM ELEM.,4,INDEPENDENT,8302 BRAES RIVER DR,HOUSTON,77074-4212,20.0,48.0,21.0,12.0
101912112,HOUSTON ISD,BONNER ELEM.,4,INDEPENDENT,8100 ELROD ST,HOUSTON,77017-5216,35.0,78.0,40.0,26.0
