,Unnamed: 0,CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Full Address,Latitude,Longitude,Total Students,% Pass,Quadrant,random,university
1723,1751,79901118,LAMAR CISD,JACKSON ELEM.,3,INDEPENDENT,301 THIRD ST,ROSENBERG,77471-1838,2.0,51.0,37.0,20.0,"301 THIRD ST ROSENBERG,TX 77471-1838",29.564486100000003,-95.8058031,110.0,51.81818181818182,SE,494,1
4295,4352,237904107,WALLER ISD,EVELYN TURLINGT,3,INDEPENDENT,23400 HEGAR RD,HOCKLEY,77447,14.0,133.0,99.0,59.0,"23400 HEGAR RD HOCKLEY,TX 77447",30.115234,-95.8413209,305.0,51.80327868852459,SE,3658,0
2007,2039,101902117,ALDINE ISD,THOMPSON ELEM.,3,INDEPENDENT,220 CASA GRANDE DR,HOUSTON,77060-4899,9.0,98.0,70.0,45.0,"220 CASA GRANDE DR HOUSTON,TX 77060-4899",29.9222718,-95.401768,222.0,51.8018018018018,SE,3193,1
3513,3556,188901143,AMARILLO ISD,TRADEWIND ELEM.,3,INDEPENDENT,4300 WILLIAMS,AMARILLO,79118,6.0,62.0,47.0,26.0,"4300 WILLIAMS AMARILLO,TX 79118",35.16893220000001,-101.81953109999999,141.0,51.773049645390074,NW,3818,1
1592,1618,71902156,EL PASO ISD,RIVERA ELEM.,3,INDEPENDENT,6445 ESCONDIDO DR,EL PASO,79912-2995,6.0,35.0,28.0,16.0,"6445 ESCONDIDO DR EL PASO,TX 79912-2995",31.8431675,-106.534159,85.0,51.76470588235294,NW,2124,1
2528,2561,101921107,TOMBALL ISD,WILLOW CREEK EL,3,INDEPENDENT,18302 N ELDRIDGE PKWY,TOMBALL,77377,7.0,144.0,104.0,58.0,"18302 N ELDRIDGE PKWY TOMBALL,TX 77377",30.0307065,-95.609083,313.0,51.757188498402556,SE,3132,1
2236,2269,101912199,HOUSTON ISD,LOVETT ELEM.,3,INDEPENDENT,8814 S RICE AVE,HOUSTON,77096-2622,11.0,100.0,75.0,44.0,"8814 S RICE AVE HOUSTON,TX 77096-2622",29.683082000000002,-95.469136,230.0,51.73913043478261,SE,928,1
812,823,43910148,PLANO ISD,SCHELL ELEM.,3,INDEPENDENT,5301 E RENNER RD,RICHARDSON,75082-2822,14.0,97.0,70.0,49.0,"5301 E RENNER RD RICHARDSON,TX 75082-2822",33.001534299999996,-96.6238156,230.0,51.73913043478261,NE,4825,1
831,842,43914105,WYLIE ISD,R.V. GROVES ELE,3,INDEPENDENT,1100 MCCREARY RD,WYLIE,75098,11.0,115.0,88.0,47.0,"1100 MCCREARY RD WYLIE,TX 75098",33.0252047,-96.5936053,261.0,51.724137931034484,NE,2532,1
981,996,57903109,CARROLLTON-FARM,FARMERS BRANCH,3,INDEPENDENT,13521 TOM FIELD RD,FARMERS BRANCH,75234-4855,7.0,63.0,50.0,25.0,"13521 TOM FIELD RD FARMERS BRANCH,TX 75234-4855",32.928129999999996,-96.888521,145.0,51.724137931034484,NE,146,1
3750,3796,220902115,BIRDVILLE ISD,W.A. PORTER ELE,3,INDEPENDENT,2750 PRESTONDALE DR,HURST,76053-2399,12.0,58.0,46.0,29.0,"2750 PRESTONDALE DR HURST,TX 76053-2399",32.86709260000001,-97.182792,145.0,51.724137931034484,NE,4022,1
625,635,31906109,LOS FRESNOS CIS,RANCHO VERDE EL,3,INDEPENDENT,101 RANCHO ALEGRE,BROWNSVILLE,78526,14.0,113.0,85.0,51.0,"101 RANCHO ALEGRE BROWNSVILLE,TX 78526",26.0218146,-97.4930191,263.0,51.71102661596958,SE,2677,1
2514,2547,101920115,SPRING BRANCH I,VALLEY OAKS ELE,3,INDEPENDENT,8390 WESTVIEW DR,HOUSTON,77055,9.0,76.0,55.0,36.0,"8390 WESTVIEW DR HOUSTON,TX 77055",29.795709499999997,-95.4945914,176.0,51.70454545454545,SE,2738,1
4333,4390,240903117,UNITED ISD,KAZEN ELEM.,3,INDEPENDENT,9620 ALBANY DR,LAREDO,78041-7898,9.0,49.0,37.0,25.0,"9620 ALBANY DR LAREDO,TX 78041-7898",27.5885804,-99.5163308,120.0,51.666666666666664,SW,568,1
723,734,43905119,FRISCO ISD,ASHLEY ELEM.,3,INDEPENDENT,15601 CHRISTOPHER LN,FRISCO,75035-3653,14.0,88.0,70.0,39.0,"15601 CHRISTOPHER LN FRISCO,TX 75035-3653",33.1697265,-96.7382765,211.0,51.65876777251185,NE,1203,1
2670,2703,108904119,EDINBURG CISD,TRUMAN ELEM.,3,INDEPENDENT,701 W ROGERS RD,EDINBURG,78539,12.0,61.0,49.0,29.0,"701 W ROGERS RD EDINBURG,TX 78539",26.332749800000002,-98.16371120000001,151.0,51.65562913907285,SE,1069,1
3890,3937,220908118,MANSFIELD ISD,MARY JO SHEPPAR,3,INDEPENDENT,1701 FM 1187,MANSFIELD,76063,8.0,80.0,56.0,38.0,"1701 FM 1187 MANSFIELD,TX 76063",32.586012100000005,-97.1685039,182.0,51.64835164835165,NE,1640,1
1625,1651,71905117,YSLETA ISD,SCOTSDALE ELEM.,3,INDEPENDENT,2901 MCRAE BLVD,EL PASO,79925,9.0,80.0,62.0,33.0,"2901 MCRAE BLVD EL PASO,TX 79925",31.7819392,-106.3571409,184.0,51.630434782608695,NW,2960,1
4060,4114,227814001,CHAPARRAL STAR,CHAPARRAL STAR,3,CHARTER,14046 SUMMIT DR,AUSTIN,78728,2.0,28.0,25.0,7.0,"14046 SUMMIT DR AUSTIN,TX 78728",30.4381229,-97.69220500000002,62.0,51.61290322580645,SE,3325,1
3874,3921,220907129,KELLER ISD,RIDGEVIEW ELEM.,3,INDEPENDENT,1601 MARSHALL RIDGE PKWY,KELLER,76248,17.0,133.0,101.0,59.0,"1601 MARSHALL RIDGE PKWY KELLER,TX 76248",32.96088830000001,-97.2412474,310.0,51.61290322580645,NE,742,1
2245,2278,101912214,HOUSTON ISD,PARK PLACE ELEM,3,INDEPENDENT,8235 PARK PL BLVD,HOUSTON,77017-3104,7.0,53.0,39.0,25.0,"8235 PARK PL BLVD HOUSTON,TX 77017-3104",29.689594399999997,-95.2730965,124.0,51.61290322580645,SE,826,1
2506,2539,101920107,SPRING BRANCH I,HUNTERS CREEK E,3,INDEPENDENT,10650 BEINHORN,HOUSTON,77024-3199,9.0,111.0,82.0,46.0,"10650 BEINHORN HOUSTON,TX 77024-3199",29.778744300000003,-95.49684570000001,248.0,51.61290322580645,SE,1817,1
3646,3690,213901102,GLEN ROSE ISD,GLEN ROSE INTER,3,INDEPENDENT,201 ALLEN LN,GLEN ROSE,76043-2129,16.0,105.0,82.0,47.0,"201 ALLEN LN GLEN ROSE,TX 76043-2129",32.229334,-97.7628013,250.0,51.6,NE,3030,0
876,888,46902125,COMAL ISD,INDIAN SPRINGS,3,INDEPENDENT,25751 WILDERNESS OAK,SAN ANTONIO,78261,12.0,110.0,81.0,49.0,"25751 WILDERNESS OAK SAN ANTONIO,TX 78261",29.684964299999997,-98.436942,252.0,51.58730158730159,SE,1311,0
4439,4497,246909131,ROUND ROCK ISD,TERAVISTA ELEM.,3,INDEPENDENT,4419 TERAVISTA CLUB DR,ROUND ROCK,78665,20.0,137.0,102.0,65.0,"4419 TERAVISTA CLUB DR ROUND ROCK,TX 78665",30.5757908,-97.6625256,324.0,51.54320987654321,SE,1039,1
2508,2541,101920109,SPRING BRANCH I,MEMORIAL DRIVE,3,INDEPENDENT,11202 SMITHDALE,HOUSTON,77024-6799,4.0,59.0,44.0,23.0,"11202 SMITHDALE HOUSTON,TX 77024-6799",29.770999,-95.511607,130.0,51.53846153846154,SE,3931,1
1402,1423,61902117,LEWISVILLE ISD,DONALD ELEM.,3,INDEPENDENT,2400 FOREST VISTA DR,FLOWER MOUND,75028-4674,4.0,91.0,65.0,36.0,"2400 FOREST VISTA DR FLOWER MOUND,TX 75028-4674",33.020130800000004,-97.065474,196.0,51.53061224489796,NE,4387,1
2114,2146,101907149,CYPRESS-FAIRBAN,WARNER ELEM.,3,INDEPENDENT,10400 WARNER SMITH BLVD,CYPRESS,77433,13.0,193.0,144.0,75.0,"10400 WARNER SMITH BLVD CYPRESS,TX 77433",29.935656400000003,-95.7177248,425.0,51.529411764705884,SE,4534,1
834,845,43914108,WYLIE ISD,RITA SMITH ELEM,3,INDEPENDENT,2221 FM 1378,WYLIE,75098,7.0,120.0,86.0,49.0,"2221 FM 1378 WYLIE,TX 75098",33.0472516,-96.5702075,262.0,51.52671755725191,NE,3337,0
2378,2411,101914119,KATY ISD,SUE CREECH ELEM,3,INDEPENDENT,5905 S MASON RD,KATY,77450,16.0,127.0,95.0,57.0,"5905 S MASON RD KATY,TX 77450",29.7160058,-95.7441676,295.0,51.52542372881356,SE,1742,1
2686,2719,108905104,HIDALGO ISD,HIDALGO PARK EL,3,INDEPENDENT,8700 S I RD,PHARR,78577,1.0,31.0,23.0,11.0,"8700 S I RD PHARR,TX 78577",26.11075,-98.18260759999998,66.0,51.515151515151516,SE,2980,0
4432,4490,246909124,ROUND ROCK ISD,JOLLYVILLE ELEM,3,INDEPENDENT,6720 CORPUS CHRISTI DR,AUSTIN,78729-7508,10.0,38.0,32.0,19.0,"6720 CORPUS CHRISTI DR AUSTIN,TX 78729-7508",30.4443169,-97.7507526,99.0,51.515151515151516,SE,4983,1
2967,3003,129902104,FORNEY ISD,HENDERSON ELEM.,3,INDEPENDENT,12755 FM 1641,FORNEY,75126,10.0,87.0,65.0,38.0,"12755 FM 1641 FORNEY,TX 75126",32.725953499999996,-96.4368658,200.0,51.5,NE,1396,1
1332,1349,57916134,RICHARDSON ISD,MERRIMAN PARK E,3,INDEPENDENT,7101 WINEDALE DR,DALLAS,75231-4107,10.0,71.0,55.0,31.0,"7101 WINEDALE DR DALLAS,TX 75231-4107",32.879644899999995,-96.7399483,167.0,51.49700598802395,NE,2172,1
4169,4223,227901187,AUSTIN ISD,BALDWIN ELEM.,3,INDEPENDENT,12200 MERIDIAN PARK BLVD,AUSTIN,78739,17.0,129.0,94.0,61.0,"12200 MERIDIAN PARK BLVD AUSTIN,TX 78739",30.1848897,-97.92345300000001,301.0,51.49501661129568,SE,195,1
3298,3340,170903107,MONTGOMERY ISD,KEENAN ELEM.,3,INDEPENDENT,19180 KEENAN CUT OFF,MONTGOMERY,77316,6.0,108.0,77.0,44.0,"19180 KEENAN CUT OFF MONTGOMERY,TX 77316",30.324488,-95.6884577,235.0,51.48936170212766,SE,1608,0
821,832,43912104,PROSPER ISD,CYNTHIA A. COCK,3,INDEPENDENT,1075 ESCALANTE TRAIL,PROSPER,75078,6.0,127.0,88.0,53.0,"1075 ESCALANTE TRAIL PROSPER,TX 75078",33.2462022,-96.7366041,274.0,51.45985401459854,NE,1933,1
4315,4372,240901116,LAREDO ISD,SANTO NINO ELEM,3,INDEPENDENT,2701 BISMARK ST,LAREDO,78043-5515,9.0,91.0,66.0,40.0,"2701 BISMARK ST LAREDO,TX 78043-5515",27.4859775,-99.4685333,206.0,51.45631067961165,SW,74,1
2343,2376,101913112,HUMBLE ISD,DEERWOOD ELEM.,3,INDEPENDENT,2920 FOREST GARDEN DR,KINGWOOD,77345-1409,6.0,95.0,71.0,36.0,"2920 FOREST GARDEN DR KINGWOOD,TX 77345-1409",30.056435999999998,-95.172725,208.0,51.44230769230769,SE,1561,0
3270,3312,170902109,CONROE ISD,OAK RIDGE ELEM.,3,INDEPENDENT,19675 INTERSTATE 45 S,CONROE,77385-8754,13.0,122.0,92.0,51.0,"19675 INTERSTATE 45 S CONROE,TX 77385-8754",30.170452299999997,-95.44848490000001,278.0,51.43884892086331,SE,2390,1
4385,4442,244905001,NORTHSIDE ISD,NORTHSIDE SCHOO,3,INDEPENDENT,18040 HWY 283 N,VERNON,76384-9801,0.0,17.0,14.0,4.0,"18040 HWY 283 N VERNON,TX 76384-9801",34.1545306,-99.2650804,35.0,51.42857142857143,NW,2298,0
681,692,43802101,LONE STAR LANGU,LONE STAR LANGU,3,CHARTER,5301 DEMOCRACY DR,PLANO,75024,1.0,16.0,12.0,6.0,"5301 DEMOCRACY DR PLANO,TX 75024",33.069257199999996,-96.81324559999999,35.0,51.42857142857143,NE,3655,1
829,840,43914103,WYLIE ISD,P.M. AKIN ELEM.,3,INDEPENDENT,1100 SPRINGWOOD,WYLIE,75098-0490,9.0,93.0,65.0,43.0,"1100 SPRINGWOOD WYLIE,TX 75098-0490",33.0095037,-96.5230585,210.0,51.42857142857143,NE,3831,0
2527,2560,101921103,TOMBALL ISD,LAKEWOOD ELEM.,3,INDEPENDENT,15614 GETTYSBURG,TOMBALL,77377-8609,12.0,158.0,115.0,65.0,"15614 GETTYSBURG TOMBALL,TX 77377-8609",30.001650399999995,-95.59853690000001,350.0,51.42857142857143,SE,313,1
4220,4276,227913102,LAKE TRAVIS ISD,LAKEWAY ELEM.,3,INDEPENDENT,1701 LOHMANS CROSSING RD,AUSTIN,78734-5157,9.0,110.0,81.0,45.0,"1701 LOHMANS CROSSING RD AUSTIN,TX 78734-5157",30.3530211,-97.9764183,245.0,51.42857142857143,SE,1129,1
1735,1763,79901142,LAMAR CISD,DON CARTER ELEM,3,INDEPENDENT,8500 A MEYERS RD,RICHMOND,77469,3.0,101.0,71.0,39.0,"8500 A MEYERS RD RICHMOND,TX 77469",29.5116402,-95.7177285,214.0,51.401869158878505,SE,4855,1
465,470,20901118,ALVIN ISD,POMONA ELEM.,3,INDEPENDENT,4480 KIRBY DR,MANVEL,77578,10.0,78.0,56.0,37.0,"4480 KIRBY DR MANVEL,TX 77578",29.529177299999997,-95.4015069,181.0,51.38121546961326,SE,4708,1
4332,4389,240903116,UNITED ISD,MATIAS DE LLANO,3,INDEPENDENT,1415 SHILOH DR,LAREDO,78045,8.0,63.0,48.0,27.0,"1415 SHILOH DR LAREDO,TX 78045",27.5945998,-99.47054990000001,146.0,51.36986301369863,SW,3254,1
2757,2790,108911108,SHARYLAND ISD,HARRY SHIMOTSU,3,INDEPENDENT,3101 SAN MATEO ST,MISSION,78572,6.0,83.0,63.0,31.0,"3101 SAN MATEO ST MISSION,TX 78572",26.1652922,-98.2990893,183.0,51.36612021857923,SE,687,1
1518,1539,70903104,ENNIS ISD,TRAVIS ELEM.,3,INDEPENDENT,200 N SHAWNEE,ENNIS,75119-4157,9.0,80.0,57.0,37.0,"200 N SHAWNEE ENNIS,TX 75119-4157",32.3306599,-96.6234817,183.0,51.36612021857923,NE,4447,1
3346,3388,174908101,CENTRAL HEIGHTS,CENTRAL HEIGHTS,3,INDEPENDENT,10317 US HWY 259 N,NACOGDOCHES,75965,7.0,65.0,51.0,25.0,"10317 US HWY 259 N NACOGDOCHES,TX 75965",31.7084325,-94.6823979,148.0,51.351351351351354,NE,4543,0
2274,2307,101912251,HOUSTON ISD,TWAIN ELEM.,3,INDEPENDENT,7500 BRAES BLVD,HOUSTON,77025-1224,20.0,106.0,78.0,55.0,"7500 BRAES BLVD HOUSTON,TX 77025-1224",29.6986164,-95.43803220000001,259.0,51.351351351351354,SE,47,1
2129,2161,101908108,DEER PARK ISD,FAIRMONT ELEM.,3,INDEPENDENT,4315 HEATHFIELD,PASADENA,77505-2748,8.0,119.0,84.0,50.0,"4315 HEATHFIELD PASADENA,TX 77505-2748",29.6450082,-95.1368545,261.0,51.34099616858238,SE,2397,1
1634,1660,71905128,YSLETA ISD,VISTA HILLS ELE,3,INDEPENDENT,10801 LA SUBIDA DR,EL PASO,79935,5.0,87.0,64.0,33.0,"10801 LA SUBIDA DR EL PASO,TX 79935",31.766726000000002,-106.32660449999999,189.0,51.32275132275132,NW,3650,1
3437,3480,182904101,SANTO ISD,SANTO ELEM.,3,INDEPENDENT,406 FM RD 2201,SANTO,76472-0067,1.0,36.0,24.0,15.0,"406 FM RD 2201 SANTO,TX 76472-0067",32.6053985,-98.2099147,76.0,51.31578947368421,NE,1979,0
94,96,14906128,KILLEEN ISD,MONTAGUE VILLAG,3,INDEPENDENT,84001 CLEMENT DR,FORT HOOD,76544-1500,11.0,63.0,49.0,29.0,"84001 CLEMENT DR FORT HOOD,TX 76544-1500",31.113075800000004,-97.8291816,152.0,51.31578947368421,SE,1778,1
393,398,15915230,NORTHSIDE ISD,MCANDREW ELEM.,3,INDEPENDENT,26615 TOUTANT BEAUREGARD,SAN ANTONIO,78006,3.0,53.0,39.0,20.0,"26615 TOUTANT BEAUREGARD SAN ANTONIO,TX 78006",29.69320339999999,-98.7093069,115.0,51.30434782608695,SE,1096,1
2756,2789,108911107,SHARYLAND ISD,LLOYD AND DOLLY,3,INDEPENDENT,2101 S TAYLOR RD,MCALLEN,78501,2.0,55.0,36.0,24.0,"2101 S TAYLOR RD MCALLEN,TX 78501",26.189526899999997,-98.280134,117.0,51.282051282051285,SE,515,1
776,787,43910108,PLANO ISD,SHEPARD ELEM.,3,INDEPENDENT,1000 WILSON DR,PLANO,75075-5121,7.0,69.0,52.0,28.0,"1000 WILSON DR PLANO,TX 75075-5121",33.012916600000004,-96.7384438,156.0,51.282051282051285,NE,2683,1
1714,1742,79901107,LAMAR CISD,SMITH ELEM.,3,INDEPENDENT,2014 LAMAR DR,RICHMOND,77469-5302,10.0,47.0,40.0,20.0,"2014 LAMAR DR RICHMOND,TX 77469-5302",29.560234,-95.767909,117.0,51.282051282051285,SE,4729,1
2355,2388,101913124,HUMBLE ISD,FALL CREEK ELEM,3,INDEPENDENT,14435 MESA RD,HUMBLE,77396,29.0,161.0,122.0,78.0,"14435 MESA RD HUMBLE,TX 77396",29.8918104,-95.2574798,390.0,51.282051282051285,SE,3049,1
231,234,15907163,SAN ANTONIO ISD,MARK TWAIN DUAL,3,INDEPENDENT,2411 SAN PEDRO,SAN ANTONIO,78212,1.0,18.0,11.0,9.0,"2411 SAN PEDRO SAN ANTONIO,TX 78212",29.457209499999998,-98.499505,39.0,51.282051282051285,SE,1111,1
1527,1548,70908109,MIDLOTHIAN ISD,DOLORES MCCLATC,3,INDEPENDENT,6631 SHILOH RD,OVILLA,75154,10.0,105.0,75.0,46.0,"6631 SHILOH RD OVILLA,TX 75154",32.5186015,-96.90913540000001,236.0,51.271186440677965,NE,4085,0
3406,3448,178904151,CORPUS CHRISTI,JONES ELEM.,3,INDEPENDENT,7533 LIPES BLVD,CORPUS CHRISTI,78413-5399,6.0,91.0,65.0,37.0,"7533 LIPES BLVD CORPUS CHRISTI,TX 78413-5399",27.672884000000003,-97.404421,199.0,51.256281407035175,SE,1030,1
3933,3980,220916118,HURST-EULESS-BE,LAKEWOOD ELEM.,3,INDEPENDENT,1600 DONLEY DR,EULESS,76039-2199,9.0,89.0,62.0,41.0,"1600 DONLEY DR EULESS,TX 76039-2199",32.86000960000001,-97.0941796,201.0,51.243781094527364,NE,2490,1
4431,4489,246909123,ROUND ROCK ISD,FERN BLUFF ELEM,3,INDEPENDENT,17815 PARK VLY,ROUND ROCK,78681-1781,11.0,87.0,66.0,37.0,"17815 PARK VLY ROUND ROCK,TX 78681-1781",30.516706,-97.720559,201.0,51.243781094527364,SE,3405,1
1445,1466,61911114,NORTHWEST ISD,KAY GRANGER ELE,3,INDEPENDENT,12771 SARATOGA SPRINGS CIR,KELLER,76248,9.0,111.0,81.0,45.0,"12771 SARATOGA SPRINGS CIR KELLER,TX 76248",32.9577703,-97.28981920000001,246.0,51.21951219512195,NE,2889,1
2137,2169,101910109,GALENA PARK ISD,PYBURN ELEM.,3,INDEPENDENT,12302 COULSON,HOUSTON,77015-6104,9.0,72.0,53.0,32.0,"12302 COULSON HOUSTON,TX 77015-6104",29.762458000000002,-95.22067290000001,166.0,51.204819277108435,SE,2122,1
1291,1308,57914125,MESQUITE ISD,AUSTIN ELEM.,3,INDEPENDENT,3020 POTEET DR,MESQUITE,75150-4762,6.0,55.0,40.0,24.0,"3020 POTEET DR MESQUITE,TX 75150-4762",32.805982300000004,-96.6050063,125.0,51.2,NE,2875,1
3528,3571,191901113,CANYON ISD,HILLSIDE ELEM.,3,INDEPENDENT,9600 PERRY AVE,AMARILLO,79119-9600,9.0,94.0,73.0,35.0,"9600 PERRY AVE AMARILLO,TX 79119-9600",35.136433000000004,-101.94933929999999,211.0,51.18483412322275,NW,484,0
1779,1807,79907148,FORT BEND ISD,JAN SCHIFF ELEM,3,INDEPENDENT,7400 DISCOVERY LN,MISSOURI CITY,77459,23.0,143.0,106.0,68.0,"7400 DISCOVERY LN MISSOURI CITY,TX 77459",29.534644500000002,-95.5527864,340.0,51.1764705882353,SE,373,1
1602,1628,71902168,EL PASO ISD,TIPPIN ELEM.,3,INDEPENDENT,6541 BEAR RDG DR,EL PASO,79912,9.0,96.0,69.0,41.0,"6541 BEAR RDG DR EL PASO,TX 79912",31.8748978,-106.5411902,215.0,51.16279069767442,NW,1721,1
84,86,14906116,KILLEEN ISD,CLARKE ELEM.,3,INDEPENDENT,51600 COMMANCHE AVE,FORT HOOD,76544-1173,6.0,78.0,55.0,33.0,"51600 COMMANCHE AVE FORT HOOD,TX 76544-1173",31.135892699999996,-97.8059442,172.0,51.16279069767442,SE,3372,1
840,851,43918103,COMMUNITY ISD,NESMITH ELEM.,3,INDEPENDENT,801 PRESIDENTS BLVD,LAVON,75166,7.0,78.0,57.0,32.0,"801 PRESIDENTS BLVD LAVON,TX 75166",33.0162416,-96.439772,174.0,51.14942528735632,NE,594,0
2657,2690,108904106,EDINBURG CISD,TREVINO ELEM.,3,INDEPENDENT,909 S MONMACK RD,EDINBURG,78539,9.0,77.0,55.0,35.0,"909 S MONMACK RD EDINBURG,TX 78539",26.2988924,-98.2046968,176.0,51.13636363636363,SE,2460,1
60,61,14804006,ORENDA CHARTER,GATEWAY COLLEGE,3,CHARTER,3360 WESTINGHOUSE RD,GEORGETOWN,78626,9.0,99.0,73.0,40.0,"3360 WESTINGHOUSE RD GEORGETOWN,TX 78626",30.5941151,-97.6364215,221.0,51.13122171945702,SE,3035,1
2663,2696,108904112,EDINBURG CISD,FREDDY GONZALEZ,3,INDEPENDENT,2401 S SUGAR RD,EDINBURG,78539,3.0,62.0,44.0,24.0,"2401 S SUGAR RD EDINBURG,TX 78539",26.2810814,-98.1823936,133.0,51.12781954887218,SE,3462,1
4445,4503,246909138,ROUND ROCK ISD,LINDA HERRINGTO,3,INDEPENDENT,2850 PALOMA LAKE BLVD,ROUND ROCK,78665-4941,17.0,158.0,115.0,68.0,"2850 PALOMA LAKE BLVD ROUND ROCK,TX 78665-4941",30.5557457,-97.623368,358.0,51.11731843575419,SE,685,1
3126,3165,156905001,GRADY ISD,GRADY SCHOOL,3,INDEPENDENT,3500 FM 829,LENORAH,79749-4000,1.0,21.0,15.0,8.0,"3500 FM 829 LENORAH,TX 79749-4000",32.3080368,-101.9288109,45.0,51.111111111111114,NW,4532,0
4442,4500,246909135,ROUND ROCK ISD,CHANDLER OAKS E,3,INDEPENDENT,3800 STONE OAK DR,ROUND ROCK,78681,11.0,79.0,56.0,38.0,"3800 STONE OAK DR ROUND ROCK,TX 78681",30.5564403,-97.7327588,184.0,51.08695652173913,SE,2107,1
279,284,15910128,NORTH EAST ISD,REDLAND OAKS EL,3,INDEPENDENT,16650 REDLAND RD,SAN ANTONIO,78247-4424,7.0,61.0,48.0,23.0,"16650 REDLAND RD SAN ANTONIO,TX 78247-4424",29.592296299999997,-98.4309314,139.0,51.07913669064748,SE,557,1
615,625,31905101,LA FERIA ISD,SAM HOUSTON ELE,3,INDEPENDENT,500 N BEDDOES,LA FERIA,78559,6.0,63.0,44.0,28.0,"500 N BEDDOES LA FERIA,TX 78559",26.1597154,-97.8084831,141.0,51.06382978723404,SE,2780,1
2120,2152,101907155,CYPRESS-FAIRBAN,RENNELL ELEM.,3,INDEPENDENT,19500 TUCKERTON BLVD,CYPRESS,77433,16.0,146.0,109.0,60.0,"19500 TUCKERTON BLVD CYPRESS,TX 77433",29.9247718,-95.7070326,331.0,51.05740181268882,SE,2902,1
2771,2804,108912115,LA JOYA ISD,HENRY B. GONZAL,3,INDEPENDENT,3912 E EXPY 83,MISSION,78572,6.0,64.0,45.0,28.0,"3912 E EXPY 83 MISSION,TX 78572",26.200452,-98.32001109999999,143.0,51.04895104895105,SE,1460,1
2943,2979,126905103,JOSHUA ISD,A.G. ELDER ELEM,3,INDEPENDENT,513 HENDERSON ST,JOSHUA,76058-3180,10.0,84.0,64.0,34.0,"513 HENDERSON ST JOSHUA,TX 76058-3180",32.4556205,-97.3782305,192.0,51.041666666666664,NE,1500,1
1262,1279,57913102,LANCASTER ISD,HOUSTON ELEM.,3,INDEPENDENT,2929 MARQUIS ST,LANCASTER,75134-1602,7.0,65.0,48.0,27.0,"2929 MARQUIS ST LANCASTER,TX 75134-1602",32.6244127,-96.80383690000001,147.0,51.02040816326531,NE,2811,1
2926,2962,126902103,BURLESON ISD,MOUND ELEM.,3,INDEPENDENT,205 S W THOMAS ST,BURLESON,76028-3819,5.0,67.0,48.0,27.0,"205 S W THOMAS ST BURLESON,TX 76028-3819",32.5444241,-97.3324071,147.0,51.02040816326531,NE,533,1
2966,3002,129902103,FORNEY ISD,L.E. CLAYBON EL,3,INDEPENDENT,1011 FM 741,FORNEY,75126,6.0,69.0,51.0,27.0,"1011 FM 741 FORNEY,TX 75126",32.73232410000001,-96.4652349,153.0,50.98039215686274,NE,2128,1
71,72,14903116,BELTON ISD,TARVER ELEM.,3,INDEPENDENT,7949 STONEHOLLOW DR,TEMPLE,76502,11.0,95.0,68.0,42.0,"7949 STONEHOLLOW DR TEMPLE,TX 76502",31.125414000000003,-97.42368640000001,216.0,50.925925925925924,SE,4187,1
4474,4532,246913126,LEANDER ISD,MONTA JANE AKIN,3,INDEPENDENT,3261 BARLEY RD,LEANDER,78641,11.0,122.0,88.0,50.0,"3261 BARLEY RD LEANDER,TX 78641",30.562451,-97.790996,271.0,50.92250922509225,SE,2114,1
4186,4241,227904115,PFLUGERVILLE IS,ROWE LANE ELEM.,3,INDEPENDENT,3112 SPEIDEL DR,PFLUGERVILLE,78660,15.0,120.0,87.0,53.0,"3112 SPEIDEL DR PFLUGERVILLE,TX 78660",30.477545000000003,-97.5625473,275.0,50.90909090909091,SE,4420,0
3879,3926,220908106,MANSFIELD ISD,CHARLOTTE ANDER,3,INDEPENDENT,2122 W NATHAN LOWE RD,ARLINGTON,76017,7.0,74.0,51.0,33.0,"2122 W NATHAN LOWE RD ARLINGTON,TX 76017",32.6538646,-97.141827,165.0,50.90909090909091,NE,4941,1
4495,4553,250905101,YANTIS ISD,YANTIS ELEM.,3,INDEPENDENT,105 W OAK,YANTIS,75497,3.0,25.0,18.0,11.0,"105 W OAK YANTIS,TX 75497",32.9304,-95.5772,57.0,50.87719298245614,NE,1731,0
494,499,20908112,PEARLAND ISD,MASSEY RANCH EL,3,INDEPENDENT,3900 MANVEL RD,PEARLAND,77584,22.0,120.0,89.0,58.0,"3900 MANVEL RD PEARLAND,TX 77584",29.534858000000003,-95.3323979,289.0,50.865051903114185,SE,4902,1
486,491,20908101,PEARLAND ISD,E.A. LAWHON ELE,3,INDEPENDENT,5810 BROOKSIDE RD,PEARLAND,77581,19.0,129.0,94.0,59.0,"5810 BROOKSIDE RD PEARLAND,TX 77581",29.5873749,-95.3204313,301.0,50.83056478405316,SE,4889,1
4189,4244,227904118,PFLUGERVILLE IS,RIOJAS ELEM.,3,INDEPENDENT,3400 CRISPIN HILL,PFLUGERVILLE,78660,15.0,105.0,77.0,47.0,"3400 CRISPIN HILL PFLUGERVILLE,TX 78660",30.4672043,-97.5676968,244.0,50.81967213114754,SE,1726,0
